=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.12.19 16:51:46 =~=~=~=~=~=~=~=~=~=~=~=
PW Thrust: -2.30lbs, Moment: -1.66lbs, Battery Voltag1.58lbs, Battery Voltage: 26.20V, Current: 3.16A, RPM: 0
PWM Percent: 0.00%, Thrust: -2.30lbs, Moment: -1.66lbs, Battery VoltagePWM Percent: 0.00%, Thrust: 0.05lbs, Moment: 0.01lbs, Battery Voltage: 26.14V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: 0.01lbs, Moment: 0.03lbs, Battery Voltage: 26.11V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: -0.06lbs, Moment: -0.03lbs, Battery Voltage: 26.14V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: 0.05lbs, Moment: 0.02lbs, Battery Voltage: 26.14V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: 0.02lbs, Moment: 0.04lbs, Battery Voltage: 26.11V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: -0.10lbs, Moment: -0.05lbs, Battery Voltage: 26.14V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: 0.04lbs, Moment: -0.01lbs, Battery Voltage: 26.14V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: -0.12lbs, Moment: -0.08lbs, Battery Voltage: 26.11V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: -0.15lbs, Moment: -0.11lbs, Battery Voltage: 26.20V, Current: 3.16A, RPM: 0
PWM Percent: 0.00%, Thrust: 0.00lbs, Moment: -0.01lbs, Battery Voltage: 26.11V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: 0.06lbs, Moment: 0.05lbs, Battery Voltage: 26.14V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: -0.00lbs, Moment: 0.01lbs, Battery Voltage: 26.11V, Current: 2.99A, RPM: 0
PWM Percent: 0.00%, Thrust: 0.03lbs, Moment: 0.02lbs, Battery Voltage: 26.11V, Current: 3.16A, RPM: 0
PWM Percent: 0.00%, Thrust: 0.07lbs, Moment: 0.04lbs, Battery Voltage: 26.11V, Current: 3.16A, RPM: 0
PWM Percent: 0.00%, Thrust: 1.16lbs, Moment: 0.84lbs, Battery Voltage: 26.11V, Current: 3.16A, RPM: 3120
PWM Percent: 0.00%, Thrust: 1.19lbs, Moment: 0.83lbs, Battery Voltage: 26.08V, Current: 3.07A, RPM: 5655
PWM Percent: 0.00%, Thrust: 1.19lbs, Moment: 0.88lbs, Battery Voltage: 26.08V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: 1.11lbs, Moment: 0.79lbs, Battery Voltage: 26.08V, Current: 3.16A, RPM: 6240
PWM Percent: 0.00%, Thrust: 1.12lbs, Moment: 0.80lbs, Battery Voltage: 26.08V, Current: 3.16A, RPM: 0
PWM Percent: 0.00%, Thrust: 2.20lbs, Moment: 1.56lbs, Battery Voltage: 26.11V, Current: 4.09A, RPM: 54915
PWM Percent: 0.00%, Thrust: 1.07lbs, Moment: 0.75lbs, Battery Voltage: 26.08V, Current: 3.16A, RPM: 2580
PWM Percent: 0.00%, Thrust: 1.29lbs, Moment: 0.83lbs, Battery Voltage: 26.08V, Current: 3.16A, RPM: 0
PWM Percent: 0.00%, Thrust: 1.22lbs, Moment: 0.92lbs, Battery Voltage: 26.08V, Current: 3.16A, RPM: 0
PWM Percent: 0.00%, Thrust: 0.79lbs, Moment: 0.43lbs, Battery Voltage: 26.05V, Current: 2.99A, RPM: 53340
PWM Percent: 0.00%, Thrust: -15.18lbs, Moment: -17.88lbs, Battery Voltage: 26.08V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: -56.18lbs, Moment: -36.31lbs, Battery Voltage: 26.08V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: -43.56lbs, Moment: -29.82lbs, Battery Voltage: 26.08V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: -28.20lbs, Moment: -19.93lbs, Battery Voltage: 26.05V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: -30.13lbs, Moment: -21.81lbs, Battery Voltage: 26.05V, Current: 3.07A, RPM: 42450
PWM Percent: 0.00%, Thrust: -17.83lbs, Moment: -12.59lbs, Battery Voltage: 26.05V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: -33.95lbs, Moment: -23.76lbs, Battery Voltage: 26.05V, Current: 2.90A, RPM: 54465
PWM Percent: 0.00%, Thrust: -17.42lbs, Moment: -16.12lbs, Battery Voltage: 26.05V, Current: 2.99A, RPM: 54195
PWM Percent: 0.00%, Thrust: 2.19lbs, Moment: 1.58lbs, Battery Voltage: 26.08V, Current: 4.42A, RPM: 54615
PWM Percent: 0.00%, Thrust: 2.20lbs, Moment: 1.58lbs, Battery Voltage: 26.00V, Current: 4.51A, RPM: 53610
PWM Percent: 0.00%, Thrust: 2.18lbs, Moment: 1.57lbs, Battery Voltage: 26.05V, Current: 3.16A, RPM: 54135
PWM Percent: 0.00%, Thrust: 2.18lbs, Moment: 1.56lbs, Battery Voltage: 26.05V, Current: 3.16A, RPM: 54330
PWM Percent: 0.00%, Thrust: 2.17lbs, Moment: 1.58lbs, Battery Voltage: 26.05V, Current: 3.16A, RPM: 55605
PWM Percent: 0.00%, Thrust: 2.18lbs, Moment: 1.57lbs, Battery Voltage: 26.08V, Current: 3.83A, RPM: 55755
PWM Percent: 0.00%, Thrust: 2.18lbs, Moment: 1.56lbs, Battery Voltage: 26.05V, Current: 3.16A, RPM: 55335
PWM Percent: 0.00%, Thrust: 2.20lbs, Moment: 1.58lbs, Battery Voltage: 26.05V, Current: 3.16A, RPM: 54990
PWM Percent: 0.00%, Thrust: 2.19lbs, Moment: 1.58lbs, Battery Voltage: 26.05V, Current: 3.07A, RPM: 56310
PWM Percent: 0.00%, Thrust: 2.19lbs, Moment: 1.58lbs, Battery Voltage: 26.05V, Current: 11.52A, RPM: 56520
PWM Percent: 0.00%, Thrust: 2.17lbs, Moment: 1.54lbs, Battery Voltage: 26.05V, Current: 2.90A, RPM: 55710
PWM Percent: 0.00%, Thrust: 2.18lbs, Moment: 1.59lbs, Battery Voltage: 26.05V, Current: 2.99A, RPM: 55050
PWM Percent: 0.00%, Thrust: 1.60lbs, Moment: 1.09lbs, Battery Voltage: 26.08V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: 1.42lbs, Moment: 1.01lbs, Battery Voltage: 26.11V, Current: 3.16A, RPM: 0
PWM Percent: 0.00%, Thrust: 1.34lbs, Moment: 0.94lbs, Battery Voltage: 26.08V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: 1.20lbs, Moment: 0.92lbs, Battery Voltage: 26.08V, Current: 3.16A, RPM: 0
PWM Percent: 0.00%, Thrust: 1.32lbs, Moment: 0.89lbs, Battery Voltage: 26.08V, Current: 3.16A, RPM: 0
PWM Percent: 0.00%, Thrust: 1.44lbs, Moment: 1.01lbs, Battery Voltage: 26.08V, Current: 3.16A, RPM: 0
PWM Percent: -35.71%, Thrust: 1.15lbs, Moment: 0.88lbs, Battery Voltage: 26.05V, Current: 3.07A, RPM: 0
PWM Percent: -57.14%, Thrust: 0.84lbs, Moment: 0.60lbs, Battery Voltage: 26.05V, Current: 3.16A, RPM: 58230
PWM Percent: 0.00%, Thrust: 1.00lbs, Moment: 0.72lbs, Battery Voltage: 26.05V, Current: 2.99A, RPM: 59565
PWM Percent: 0.00%, Thrust: -36.03lbs, Moment: -23.78lbs, Battery Voltage: 26.08V, Current: 3.16A, RPM: 4200
PWM Percent: 0.00%, Thrust: -10.81lbs, Moment: -7.13lbs, Battery Voltage: 26.08V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: -24.17lbs, Moment: -17.28lbs, Battery Voltage: 26.08V, Current: 3.07A, RPM: 0
